Feb 10 19:40:28 dsm-f kernel: [   97.721236] SoftIWARP attached
Feb 10 19:40:28 dsm-f kernel: [   97.765615] [dsm_init] ip : 192.168.1.106
Feb 10 19:40:28 dsm-f kernel: [   97.765617] [dsm_init] port : 4444
Feb 10 19:40:38 dsm-f kernel: [  108.220973] [DSM_DSM]
Feb 10 19:40:38 dsm-f kernel: [  108.220974]  registered dsm ffff880426a18000,  dsm_id : 1, res: 0 
Feb 10 19:40:38 dsm-f kernel: [  108.221002] [DSM_SVM]
Feb 10 19:40:38 dsm-f kernel: [  108.221002] 	 registered svm ffff8804256daa00 , res : 0
Feb 10 19:40:38 dsm-f kernel: [  108.221003] 	dsm_id : 1
Feb 10 19:40:38 dsm-f kernel: [  108.221004] 	svm_id : 1
Feb 10 19:40:38 dsm-f kernel: [  108.232645] >[dsm_send_info] - sending info
Feb 10 19:40:38 dsm-f kernel: [  108.232675] >[dsm_send_poll] - ack rdma info exchange wr_id 0 
Feb 10 19:40:38 dsm-f kernel: [  108.232975] >[dsm_send_info] - sending info
Feb 10 19:40:38 dsm-f kernel: [  108.232992] >[dsm_send_poll] - ack rdma info exchange wr_id 0 
Feb 10 19:40:38 dsm-f kernel: [  108.233354] [DSM_SVM]
Feb 10 19:40:38 dsm-f kernel: [  108.233355] 	 connecting svm 
Feb 10 19:40:38 dsm-f kernel: [  108.233356] 	dsm_id : 1
Feb 10 19:40:38 dsm-f kernel: [  108.233356] 	svm_id : 2
Feb 10 19:40:38 dsm-f kernel: [  108.233356] 	res : 0
Feb 10 19:42:57 dsm-f kernel: [  247.282290] [_dsm_extract_page] faulting for page 00007f41ec415000  
Feb 10 19:42:57 dsm-f kernel: [  247.282292]  [_dsm_extract_page] got page ffffea00102f8140  
Feb 10 19:42:57 dsm-f kernel: [  247.282309]  [_dsm_extract_page] faulting for page 00007f41ec416000  
Feb 10 19:42:57 dsm-f kernel: [  247.282315]  [_dsm_extract_page] got page ffffea00102f8180  
Feb 10 19:42:57 dsm-f kernel: [  247.282317]  [_dsm_extract_page] faulting for page 00007f41ec418000  
Feb 10 19:42:57 dsm-f kernel: [  247.282319]  [_dsm_extract_page] got page ffffea00102f8200  
Feb 10 19:42:57 dsm-f kernel: [  247.282322]  [_dsm_extract_page] faulting for page 00007f41ec419000  
Feb 10 19:42:57 dsm-f kernel: [  247.282324]  [_dsm_extract_page] got page ffffea00102f8240  
Feb 10 19:42:57 dsm-f kernel: [  247.282326]  [_dsm_extract_page] faulting for page 00007f41ec41d000  
Feb 10 19:42:57 dsm-f kernel: [  247.282328]  [_dsm_extract_page] got page ffffea00102f8340  
Feb 10 19:42:57 dsm-f kernel: [  247.282330]  [_dsm_extract_page] faulting for page 00007f41e859f000  
Feb 10 19:42:57 dsm-f kernel: [  247.282769]  [_dsm_extract_page] got page ffffea00105e52c0  
Feb 10 19:42:57 dsm-f kernel: [  247.282774]  [_dsm_extract_page] faulting for page 00007f41e85a1000  
Feb 10 19:42:57 dsm-f kernel: [  247.282778]  [_dsm_extract_page] got page ffffea00105e5340  
Feb 10 19:42:57 dsm-f kernel: [  247.282780]  [_dsm_extract_page] faulting for page 00007f41e85a2000  
Feb 10 19:42:57 dsm-f kernel: [  247.282782]  [_dsm_extract_page] got page ffffea00105e5380  
Feb 10 19:42:57 dsm-f kernel: [  247.282784]  [_dsm_extract_page] faulting for page 00007f41e85a3000  
Feb 10 19:42:57 dsm-f kernel: [  247.282786]  [_dsm_extract_page] got page ffffea00105e53c0  
Feb 10 19:42:57 dsm-f kernel: [  247.282788]  [_dsm_extract_page] faulting for page 00007f41ec404000  
Feb 10 19:42:57 dsm-f kernel: [  247.343227]  [_dsm_extract_page] got page ffffea00102f7d00  
Feb 10 19:42:57 dsm-f kernel: [  247.343233]  [_dsm_extract_page] faulting for page 00007f41ec40c000  
Feb 10 19:42:57 dsm-f kernel: [  247.343236]  [_dsm_extract_page] got page ffffea00102f7f00  
Feb 10 19:42:57 dsm-f kernel: [  247.343239]  [_dsm_extract_page] faulting for page 00007f41ec40e000  
Feb 10 19:42:57 dsm-f kernel: [  247.343241]  [_dsm_extract_page] got page ffffea00102f7f80  
Feb 10 19:42:57 dsm-f kernel: [  247.343243]  [_dsm_extract_page] faulting for page 00007f41ec410000  
Feb 10 19:42:57 dsm-f kernel: [  247.343245]  [_dsm_extract_page] got page ffffea00102f8000  
Feb 10 19:42:57 dsm-f kernel: [  247.343247]  [_dsm_extract_page] faulting for page 00007f41ec411000  
Feb 10 19:42:57 dsm-f kernel: [  247.343249]  [_dsm_extract_page] got page ffffea00102f8040  
Feb 10 19:42:57 dsm-f kernel: [  247.343251]  [_dsm_extract_page] faulting for page 00007f41ec412000  
Feb 10 19:42:57 dsm-f kernel: [  247.343253]  [_dsm_extract_page] got page ffffea00102f8080  
Feb 10 19:42:57 dsm-f kernel: [  247.343255]  [_dsm_extract_page] faulting for page 00007f41ec413000  
Feb 10 19:42:57 dsm-f kernel: [  247.343257]  [_dsm_extract_page] got page ffffea00102f80c0  
Feb 10 19:42:57 dsm-f kernel: [  247.343259]  [_dsm_extract_page] faulting for page 00007f41e83ab000  
Feb 10 19:42:57 dsm-f kernel: [  247.343918]  [_dsm_extract_page] got page ffffea00105fd5c0  
Feb 10 19:42:57 dsm-f kernel: [  247.343924]  [_dsm_extract_page] faulting for page 00007f41e83cd000  
Feb 10 19:42:57 dsm-f kernel: [  247.343927]  [_dsm_extract_page] got page ffffea00105fde40  
Feb 10 19:42:57 dsm-f kernel: [  247.343929]  [_dsm_extract_page] faulting for page 00007f41ec403000  
Feb 10 19:42:57 dsm-f kernel: [  247.345092]  [_dsm_extract_page] got page ffffea00102f7cc0  
Feb 10 19:42:57 dsm-f kernel: [  247.345097]  [_dsm_extract_page] faulting for page 00007f41e83d8000  
Feb 10 19:42:57 dsm-f kernel: [  247.345537]  [_dsm_extract_page] got page ffffea00105fe100  
Feb 10 19:42:57 dsm-f kernel: [  247.345542]  [_dsm_extract_page] faulting for page 00007f41e83db000  
Feb 10 19:42:57 dsm-f kernel: [  247.345546]  [_dsm_extract_page] got page ffffea00105fe1c0  
Feb 10 19:42:57 dsm-f kernel: [  247.345548]  [_dsm_extract_page] faulting for page 00007f41e83de000  
