39 Migration start
331152 sending ram header

time_in_ns ram_sended_in_kb ram_remaining_in_kb
5878324 4096 1052767
6910087 4097 1052766
7945408 4098 1052765
8930964 4099 1052764
9897798 4100 1052763
10857811 4101 1052762
11834984 8197 1052761
12793872 12293 1052760
13750175 16389 1052759
14709371 20485 1052758
15689015 24581 1052757
16672080 28677 1052756
17789555 32773 1052755
18765520 sending ram header finished
18768888 start iterating
22620963 36869 1052754
23645234 40965 1052753
24659559 45061 1052752
25671822 49157 1052751
26714381 53253 1052750
27678944 57349 1052749
28642692 61445 1052748
29729937 65541 1052747
30705807 65542 1052746
31664459 65543 1052745
32623407 65544 1052744
33580638 69640 1052743
34540992 73736 1052742
35500230 73737 1052741
36456221 73738 1052740
37517686 73739 1052739
38484281 73740 1052738
39444649 73741 1052737
40398314 73742 1052736
41354318 73743 1052735
42312129 73744 1052734
43270003 73745 1052733
44226825 73746 1052732
45182154 73747 1052731
46140003 73748 1052730
47130732 73749 1052729
48097013 73750 1052728
49058028 73751 1052727
50016127 73752 1052726
50970502 73753 1052725
51973515 73754 1052724
52934353 73755 1052723
53891087 73756 1052722
54850658 77852 1052721
55806877 77853 1052720
56797455 77854 1052719
57766695 77855 1052718
58724238 77856 1052717
59681974 77857 1052716
60641049 77858 1052715
61599138 77859 1052714
62553376 77860 1052713
63510183 77861 1052712
64467073 77862 1052711
65422881 77863 1052710
66381135 77864 1052709
67374234 81960 1052708
68341075 81961 1052707
69298173 81962 1052706
70255313 81963 1052705
71213143 81964 1052704
72171730 81965 1052703
73130757 81966 1052702
74086644 81967 1052701
75042296 81968 1052700
75998261 81969 1052699
76973675 81970 1052698
77888635 81971 1052697
78802705 81972 1052696
79716695 81973 1052695
80630593 81974 1052694
81544643 81975 1052693
82458933 81976 1052692
83373118 81977 1052691
84287188 81978 1052690
85201262 81979 1052689
86115227 81980 1052688
87073711 81981 1052687
87987962 81982 1052686
88902145 81983 1052685
89816067 81984 1052684
90729971 81985 1052683
91644108 81986 1052682
92558027 81987 1052681
93472086 81988 1052680
94386164 81989 1052679
95300553 81990 1052678
96214833 81991 1052677
97152416 81992 1052676
98066831 81993 1052675
98980998 81994 1052674
99894771 81995 1052673
100808669 81996 1052672
101722574 81997 1052671
102636901 81998 1052670
103550927 81999 1052669
104464986 82000 1052668
105378921 82001 1052667
106292913 82002 1052666
107230309 82003 1052665
108144679 82004 1052664
109059256 86100 1052663
109973343 86101 1052662
110887148 86102 1052661
111801563 86103 1052660
112715882 86104 1052659
113629994 86105 1052658
114544162 86106 1052657
115458489 90202 1052656
116373123 94298 1052655
117365558 98394 1052654
118279868 102490 1052653
119193693 106586 1052652
120107729 110682 1052651
121021432 114778 1052650
121935609 114779 1052649
122849820 114780 1052648
123764218 114781 1052647
124678335 114782 1052646
125592952 114783 1052645
126507286 114784 1052644
127445111 114785 1052643
128359200 114786 1052642
129273004 114787 1052641
130187409 118883 1052640
131101110 118884 1052639
132015262 118885 1052638
132929034 118886 1052637
133842930 118887 1052636
134757118 118888 1052635
135671408 118889 1052634
136585350 118890 1052633
137522864 118891 1052632
138437235 118892 1052631
139358068 118893 1052630
140272836 118894 1052629
141187066 118895 1052628
142100875 122991 1052627
143014720 127087 1052626
143928860 127088 1052625
144843267 127089 1052624
145757121 127090 1052623
146685354 127091 1052622
147609710 127092 1052621
148523775 127093 1052620
149437704 127094 1052619
150351709 127095 1052618
151265660 127096 1052617
152179206 127097 1052616
153093002 127098 1052615
154007012 127099 1052614
154921084 127100 1052613
155834956 127101 1052612
156772298 127102 1052611
157686059 127103 1052610
158600141 127104 1052609
159569493 131200 1052608
160507442 131201 1052607
161422348 131202 1052606
162337062 131203 1052605
163251645 131204 1052604
164165869 131205 1052603
165080416 131206 1052602
165995049 131207 1052601
166934119 131208 1052600
167849166 131209 1052599
168792222 131210 1052598
169706407 131211 1052597
170620885 131212 1052596
171535514 131213 1052595
172449775 131214 1052594
173363996 131215 1052593
174277976 131216 1052592
175192503 131217 1052591
176107018 131218 1052590
177066919 131219 1052589
177981949 131220 1052588
178896242 131221 1052587
179810607 131222 1052586
180725251 131223 1052585
181639759 131224 1052584
182554221 131225 1052583
183468620 131226 1052582
184383180 131227 1052581
185297724 131228 1052580
186212550 131229 1052579
187150837 131230 1052578
188065691 131231 1052577
188980021 131232 1052576
189893760 135328 1052575
190807541 139424 1052574
191721704 143520 1052573
192635621 147616 1052572
193549323 151712 1052571
194463122 155808 1052570
195376714 159904 1052569
196345862 164000 1052568
197284670 168096 1052567
198198978 172192 1052566
199112957 176288 1052565
200027009 176289 1052564
200940849 180385 1052563
201854883 184481 1052562
202768704 188577 1052561
203682889 192673 1052560
204671220 196769 1052559
205585575 200865 1052558
206499153 204961 1052557
207457647 209057 1052556
208371772 213153 1052555
209285517 217249 1052554
210199247 221345 1052553
211113555 225441 1052552
212027722 225442 1052551
